RQ,Routing Time,SAP TIME,customer,Order ID,SAP,Order Type,MRP controller,Prodn Supervisor,Priority,Plant,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,System Status,Material Description,routing time,Class,Class Code,Priority_Num
montage,1900,1900,PST_RWI_AU_SE_336_LV_MR_SIL_08,2001520871,500467023,ZN01,502,3,B,6711,1,PC,2025-11-17,2025-11-28,REL  MSPT PRT  PCNF PRC  GMPS SETC,PA Träger 8B002975 DRX310,1900.0,Very High,4,2
Qs,720,360,PST_RWI_AU_SE_336_LV_MR_SIL_08,2001512514,500489519,ZN01,502,3,B,6711,2,PC,2025-11-17,2025-11-21,REL  MSPT PRT  PCNF PRC  GMPS SETC,"PA G2602001,G0002499,Z21,H.of,1 DRX310_F",720.0,Very High,4,2
magasin,500,500,PST_RWI_AU_SE_336_LV_MR_SIL_08,2001521508,500531597,ZN01,502,3,C,6711,1,PC,2025-11-24,2025-11-28,REL  MSPT PRT  PRC  GMPS SETC,"PA G5622021,G0002616,DA,14,SV DRX310_F",500.0,Very High,4,3
magasin,1000,1000,PST_RWI_AU_SE_336_LV_IR_SIL_10,2001518097,500233457,ZN01,502,3,None,6711,1,PC,2025-11-24,2025-11-28,rel,PA B0006990 Träger DRX310,1000.0,Very High,4,999
magasin,1000,1000,PST_RWI_AU_SE_336_LV_IR_SIL_10,2001518098,500233457,ZN01,502,3,None,6711,1,PC,2025-11-24,2025-11-28,rel,PA B0006990 Träger DRX310,1000.0,Very High,4,999
montage,750,750,DPR CW 46,2001516826,500535001,ZN02,503,3,1,6711,1,PC,2025-11-10,2025-11-14,REL  MSPT PRT  PCNF PRC  CSER GMPS SETC,"PA 8B003044,PT,SV DRX310",750.0,Very High,4,999
montage,480,120,DPR CW48,2001516849,500493464,ZN01,502,3,3,6711,4,PC,2025-11-24,2025-11-28,REL  MSPT PRT  PCNF PRC  GMPS SETC,"PA G1421020,vacuum,SV DRX310_F",480.0,Very High,4,999
montage,424,53,DPR CW48,2001514353,500162790,ZN01,502,3,3,6711,8,PC,2025-11-24,2025-11-28,REL  MSPT PRT  PCNF PRC  GMPS SETC,"PA G0221219,DA DRX310",424.0,High,3,999
montage,400,25,DPR CW48,2001514352,500152586,ZN01,502,3,3,6711,16,PC,2025-11-24,2025-11-28,REL  MSPT PRT  PCNF PRC  GMPS SETC,PA S9100286 3B0955665C/7238109 DRX310,400.0,High,3,999
montage,312,52,DPR CW48,2001516782,500612519,ZN01,502,3,3,6711,6,PC,2025-11-24,2025-11-28,REL  MSPT PRT  PCNF PRC  GMPS SETC,"PA G1021195,G0003571,SV DRX310_F",312.0,Medium,2,999
montage,300,150,DPR,2001515575,500375239,ZN01,502,3,2,6711,2,PC,2025-11-17,2025-11-21,REL  MSPT PRT  PCNF PRC  CSER GMPS SETC,"PA3B0955665C,Sender,DA,Durchfluss DRX390",300.0,Medium,2,999
